"regulation_id","state_code","state_name","topic","subtopic","status","effective_date","summary","source_url_1","citation_1","source_url_2","citation_2","source_quality","verified_by","reviewed_by","verified_at","next_review_due","notes"
"US-KS-SWEEPSTAKES-CURRENT-001","KS","Kansas","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-KY-IGAMING-CURRENT-001","KY","Kentucky","igaming","general_status","","","","","","","","primary","","","","",""
"US-KY-SPORTSBOOK-CURRENT-001","KY","Kentucky","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-KY-SWEEPSTAKES-CURRENT-001","KY","Kentucky","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-LA-IGAMING-CURRENT-001","LA","Louisiana","igaming","general_status","","","","","","","","primary","","","","",""
"US-LA-SPORTSBOOK-CURRENT-001","LA","Louisiana","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-LA-SWEEPSTAKES-CURRENT-001","LA","Louisiana","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-ME-IGAMING-CURRENT-001","ME","Maine","igaming","general_status","","","","","","","","primary","","","","",""
"US-ME-SPORTSBOOK-CURRENT-001","ME","Maine","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-ME-SWEEPSTAKES-CURRENT-001","ME","Maine","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-MD-IGAMING-CURRENT-001","MD","Maryland","igaming","general_status","","","","","","","","primary","","","","",""
"US-MD-SPORTSBOOK-CURRENT-001","MD","Maryland","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-MD-SWEEPSTAKES-CURRENT-001","MD","Maryland","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-MA-IGAMING-CURRENT-001","MA","Massachusetts","igaming","general_status","","","","","","","","primary","","","","",""
"US-MA-SPORTSBOOK-CURRENT-001","MA","Massachusetts","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-MA-SWEEPSTAKES-CURRENT-001","MA","Massachusetts","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-MI-IGAMING-CURRENT-001","MI","Michigan","igaming","general_status","","","","","","","","primary","","","","",""
"US-MI-SPORTSBOOK-CURRENT-001","MI","Michigan","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-MI-SWEEPSTAKES-CURRENT-001","MI","Michigan","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-MN-IGAMING-CURRENT-001","MN","Minnesota","igaming","general_status","","","","","","","","primary","","","","",""
"US-MN-SPORTSBOOK-CURRENT-001","MN","Minnesota","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-MN-SWEEPSTAKES-CURRENT-001","MN","Minnesota","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-MS-IGAMING-CURRENT-001","MS","Mississippi","igaming","general_status","","","","","","","","primary","","","","",""
"US-MS-SPORTSBOOK-CURRENT-001","MS","Mississippi","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-MS-SWEEPSTAKES-CURRENT-001","MS","Mississippi","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-MO-IGAMING-CURRENT-001","MO","Missouri","igaming","general_status","","","","","","","","primary","","","","",""
"US-MO-SPORTSBOOK-CURRENT-001","MO","Missouri","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-MO-SWEEPSTAKES-CURRENT-001","MO","Missouri","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-MT-IGAMING-CURRENT-001","MT","Montana","igaming","general_status","","","","","","","","primary","","","","",""
"US-MT-SPORTSBOOK-CURRENT-001","MT","Montana","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-MT-SWEEPSTAKES-CURRENT-001","MT","Montana","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-NE-IGAMING-CURRENT-001","NE","Nebraska","igaming","general_status","","","","","","","","primary","","","","",""
"US-NE-SPORTSBOOK-CURRENT-001","NE","Nebraska","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-NE-SWEEPSTAKES-CURRENT-001","NE","Nebraska","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-NV-IGAMING-CURRENT-001","NV","Nevada","igaming","general_status","legal","2013-02-21","Online poker is legal and regulated in Nevada.","https://gaming.nv.gov/","NRS 463","","","primary","","","2026-01-01","2026-12-31",""
"US-NV-SPORTSBOOK-CURRENT-001","NV","Nevada","sportsbook","general_status","legal","1949-01-01","Sports betting is fully legal and regulated.","https://gaming.nv.gov/","NRS 463","","","primary","","","2026-01-01","2026-12-31",""
"US-NV-SWEEPSTAKES-CURRENT-001","NV","Nevada","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-NH-IGAMING-CURRENT-001","NH","New Hampshire","igaming","general_status","","","","","","","","primary","","","","",""
"US-NH-SPORTSBOOK-CURRENT-001","NH","New Hampshire","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-NH-SWEEPSTAKES-CURRENT-001","NH","New Hampshire","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-NJ-IGAMING-CURRENT-001","NJ","New Jersey","igaming","general_status","legal","2013-11-26","Online casino gaming is fully legal and regulated in New Jersey.","https://www.njoag.gov/","N.J.S.A. 5:12-1","","","primary","","","2026-01-01","2026-12-31",""
"US-NJ-SPORTSBOOK-CURRENT-001","NJ","New Jersey","sportsbook","general_status","legal","2018-06-11","Sportsbook is legal.","https://www.njoag.gov/","N.J.S.A. 5:12A-1","","","primary","","","2026-01-01","2026-12-31",""
"US-NJ-SWEEPSTAKES-CURRENT-001","NJ","New Jersey","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-NM-IGAMING-CURRENT-001","NM","New Mexico","igaming","general_status","","","","","","","","primary","","","","",""
"US-NM-SPORTSBOOK-CURRENT-001","NM","New Mexico","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-NM-SWEEPSTAKES-CURRENT-001","NM","New Mexico","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-NY-IGAMING-CURRENT-001","NY","New York","igaming","general_status","","","","","","","","primary","","","","",""
